,Neighborhood,Grouping
0,JARDIM DA PENHA,D
1,MATA DA PRAIA,E
2,PONTAL DE CAMBURI,D
3,REPÚBLICA,E
4,GOIABEIRAS,E
5,ANDORINHAS,C
6,CONQUISTA,A
7,NOVA PALESTINA,A
8,DA PENHA,C
9,TABUAZEIRO,C
10,BENTO FERREIRA,C
11,SÃO PEDRO,A
12,SANTA MARTHA,C
13,SÃO CRISTÓVÃO,C
14,MARUÍPE,C
15,GRANDE VITÓRIA,A
16,SÃO BENEDITO,C
17,ILHA DAS CAIEIRAS,A
18,SANTO ANDRÉ,A
19,SOLON BORGES,E
20,BONFIM,C
21,JARDIM CAMBURI,F
22,MARIA ORTIZ,E
23,JABOUR,E
24,ANTÔNIO HONÓRIO,E
25,RESISTÊNCIA,A
26,ILHA DE SANTA MARIA,C
27,JUCUTUQUARA,C
28,MONTE BELO,C
29,MÁRIO CYPRESTE,B
30,SANTO ANTÔNIO,B
31,BELA VISTA,A
32,PRAIA DO SUÁ,C
33,SANTA HELENA,C
34,ITARARÉ,C
35,INHANGUETÁ,A
36,UNIVERSITÁRIO,A
37,SÃO JOSÉ,A
38,REDENÇÃO,A
39,SANTA CLARA,B
40,CENTRO,B
41,PARQUE MOSCOSO,B
42,DO MOSCOSO,B
43,SANTOS DUMONT,C
44,CARATOÍRA,B
45,ARIOVALDO FAVALESSA,B
46,ILHA DO FRADE,C
47,GURIGICA,C
48,JOANA D´ARC,C
49,CONSOLAÇÃO,C
50,PRAIA DO CANTO,C
51,BOA VISTA,E
52,MORADA DE CAMBURI,E
53,SANTA LUÍZA,C
54,SANTA LÚCIA,C
55,BARRO VERMELHO,C
56,ESTRELINHA,A
57,FORTE SÃO JOÃO,C
58,FONTE GRANDE,B
59,ENSEADA DO SUÁ,C
60,SANTOS REIS,A
61,PIEDADE,B
62,JESUS DE NAZARETH,B
63,SANTA TEREZA,B
64,CRUZAMENTO,C
65,ILHA DO PRÍNCIPE,B
66,ROMÃO,C
67,COMDUSA,A
68,SANTA CECÍLIA,C
69,VILA RUBIM,B
70,DE LOURDES,C
71,DO QUADRO,B
72,DO CABRAL,B
73,HORTO,C
74,SEGURANÇA DO LAR,E
75,ILHA DO BOI,C
76,FRADINHOS,C
77,NAZARETH,C
78,AEROPORTO,E
79,ILHAS OCEÂNICAS DE TRINDADE,
80,PARQUE INDUSTRIAL,
