Municipality,Population 2010,2017 (estimate)
São Paulo ,11253503,12106920
Guarulhos ,1221979,1349113
Campinas ,1080113,1182429
São Bernardo do Campo ,765463,827437
Santo André ,676407,715231
São José dos Campos ,629921,703219
Osasco ,666740,697886
Ribeirão Preto ,604682,682302
Sorocaba ,586625,659871
Mauá ,417064,462005
São José do Rio Preto ,408258,450657
Santos ,419400,434742
Mogi das Cruzes ,387779,433901
Diadema ,386089,417869
Jundiaí ,370126,409497
Piracicaba ,364571,397322
Carapicuíba ,369584,396587
Bauru ,343937,371690
Itaquaquecetuba ,321770,360657
São Vicente ,332445,360380
Franca ,318640,347237
Guarujá ,290752,315563
Praia Grande ,262051,310024
Taubaté ,278686,307953
Limeira ,276022,300911
Suzano ,262480,290769
Taboão da Serra ,244528,279634
Sumaré ,241311,273007
Barueri ,240749,267534
Embu das Artes ,240230,267054
São Carlos ,221950,246088
Indaiatuba ,201619,239602
Cotia ,201150,237750
Marília ,216745,235234
Americana ,229322,233868
Araraquara ,208662,230770
Jacareí ,211214,229851
Itapevi ,200769,229502
Presidente Prudente ,207610,225271
Hortolândia ,192692,222186
Rio Claro ,186253,202952
Araçatuba ,181579,194874
Santa Bárbara d'Oeste ,180009,191889
Ferraz de Vasconcelos ,168306,188868
Francisco Morato ,154472,171602
Itapecerica da Serra ,152614,170927
Itu ,154147,170157
Bragança Paulista ,146744,164163
Pindamonhangaba ,146995,164000
Itapetininga ,144377,160070
São Caetano do Sul ,149263,159608
Franco da Rocha ,131604,149502
Mogi Guaçu ,137245,149396
Jaú ,131040,146338
Botucatu ,127328,142546
Atibaia ,126603,139683
Santana de Parnaíba ,108813,131887
Araras ,118843,131282
Cubatão ,118720,128748
Valinhos ,106793,124024
Sertãozinho ,110074,122643
Ribeirão Pires ,113068,121848
Jandira ,108344,121492
Birigüi ,108728,120692
Catanduva ,112820,120691
Barretos ,112101,120638
Guaratinguetá ,112072,120417
Votorantim ,108809,119898
Tatuí ,107326,118939
Várzea Paulista ,107089,118917
